Country,ISO3,Year,Stunting_Prevalence,Overweight_Prevalence,Stunting_Risk,Overweight_Risk,GDP_per_Capita,Poverty_Rate,Fertility_Rate,Urban_Population_Percent,Female_Literacy_Rate,Male_Literacy_Rate
Montenegro,MNE,2011,8.6,16.1,0,1,7265.51668681954,0.4,1.65,64.4210914835811,97.5,99.4300003051758
Montenegro,MNE,2018,8.1,10.4,0,1,8673.59128084795,3.9,1.8,65.0854068937869,97.9499969482422,99.1500015258789
Mozambique,MOZ,2022,37.0,4.2,2,0,578.251663751351,81.4,4.84,35.0536638047945,50.9268678866772,74.1223819372325
Niger,NER,2005,49.8,0.7,2,0,318.643121918273,83.8,7.769,16.2687225341797,15.079999923706,42.9300003051758
Niger,NER,2014,44.7,0.6,2,0,565.30989731175,60.3,7.342,16.2450424611665,18.1139067912215,41.7834707709469
Niger,NER,2018,44.7,0.9,2,0,578.568035680892,59.0,6.706,16.6449011799221,22.8799991607666,45.189998626709
Nigeria,NGA,2003,41.3,5.5,2,0,763.388745367223,51.1,6.1,45.8372080921761,43.3199996948242,66.7699966430664
North Macedonia,MKD,2002,8.6,12.8,0,1,1989.13537265159,3.0,1.786,57.8726144171205,94.0599975585938,98.2099990844727
Pakistan,PAK,2005,44.1,5.2,2,0,827.619861189926,40.8,4.595,33.9190062789495,35.3699989318848,64.0599975585938
Pakistan,PAK,2007,45.1,5.2,2,0,998.090114197524,34.9,4.554,34.2683067336065,38.4599990844727,65.0
Pakistan,PAK,2010,44.9,4.9,2,0,987.304571124485,26.7,4.398,34.8159187475539,41.0200004577637,68.9000015258789
Pakistan,PAK,2011,44.5,4.8,2,0,1131.73513834324,25.9,4.305,35.0113675889897,41.9799995422363,66.9899978637695
Pakistan,PAK,2013,43.3,4.5,2,0,1225.4340119198,21.2,4.125,35.4315352494366,41.9700012207031,68.629997253418
Pakistan,PAK,2018,38.1,3.4,2,0,1569.33814626355,16.5,3.855,36.7478511550359,45.4000015258789,69.2799987792969
